account_id,listing_id,make,model,year,price,photo_count,featured,days_since_update,spec_completeness_score
BRK-001,LST-1001,Gulfstream,G550,2014,18500000,12,true,3,95
BRK-001,LST-1002,Gulfstream,G280,2018,12900000,8,true,5,88
BRK-001,LST-1003,Bombardier,Challenger 350,2019,16200000,10,true,2,92
BRK-002,LST-2001,Cessna,172S,2008,189000,4,false,32,65
BRK-002,LST-2002,Cessna,182T,2006,275000,3,false,45,58
BRK-002,LST-2003,Beechcraft,Bonanza G36,2012,495000,2,false,28,52
BRK-002,LST-2004,Piper,Cherokee 180,1975,55000,1,false,60,35
BRK-003,LST-3001,Cessna,Citation CJ3+,2016,6500000,9,true,4,90
BRK-003,LST-3002,Embraer,Phenom 300E,2020,9800000,11,true,1,94
BRK-003,LST-3003,Beechcraft,King Air 350i,2017,5200000,7,false,8,82
BRK-004,LST-4001,Bell,407GXi,2019,4200000,6,false,12,78
BRK-004,LST-4002,Robinson,R44 Raven II,2015,385000,3,false,18,62
BRK-004,LST-4003,Airbus,H125,2020,2800000,5,false,9,75
BRK-004,LST-4004,Bell,206L-4,2010,1100000,4,false,25,68
BRK-005,LST-5001,Piper,M600,2021,2950000,8,false,6,85
BRK-005,LST-5002,Pilatus,PC-12 NGX,2022,5500000,10,true,3,92
BRK-005,LST-5003,Daher,TBM 960,2023,4800000,9,true,2,90
BRK-006,LST-6001,Cessna,Citation Latitude,2019,,7,false,15,80
BRK-006,LST-6002,Dassault,Falcon 2000LXS,2017,,0,false,90,45
BRK-006,LST-6003,Hawker,800XP,2007,2900000,2,false,120,40
BRK-007,LST-7001,Cirrus,SR22T,2020,699000,5,false,10,72
BRK-007,LST-7002,Cirrus,Vision Jet SF50,2021,2500000,6,true,5,80
BRK-007,LST-7003,Diamond,DA62,2022,1350000,4,false,14,68
BRK-008,LST-8001,Robinson,R66,2018,850000,3,false,35,55
BRK-008,LST-8002,MD Helicopters,MD 530F,2015,1900000,0,false,180,30